t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778194249312810167,1778194249308306370,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249312685778,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249383938018,1778194249375000074,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249383877907,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249457640426,1778194249444431852,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249457558685,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249523702278,1778194249522919648,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249523642629,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249593487759,1778194249576215518,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249593435037,0,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,1
1778194249650302241,1778194249649900333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249650258518,-1,LEFT,1,1,0,1,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249731351481,1778194249705657889,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249731286926,-1,IDLE,0,0,0,0,1778194249169798815,0,LEFT,1,0,0,0,0
1778194249805396685,1778194249789160963,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249805337777,-1,IDLE,0,0,0,0,1778194249789551592,-1,IDLE,0,0,0,0,1
1778194249872600722,1778194249869654907,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249872540314,0,LEFT,0,0,0,0,1778194249789551592,-1,IDLE,0,0,0,0,0
1778194249927603500,1778194249927220277,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1778194249927561926,-1,LEFT,1,1,0,1,1778194249789551592,-1,IDLE,0,0,0,0,1
