procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 177752  50152 576556    0    0     0   516 7331 10915 78 21  1  0  0  0
 9  0      0 178876  50152 576588    0    0     0     0 7416 10173 75 24  1  0  0  0
 8  0      0 178120  50152 576616    0    0     0     0 7310 12575 76 22  2  0  0  0
10  0      0 177180  50152 576656    0    0     0     0 7371 10819 78 20  2  0  0  0
 9  0      0 178196  50164 576696    0    0     0    48 7552 12027 78 20  2  0  0  0
11  0      0 177944  50164 576728    0    0     0     0 7370 11418 78 20  3  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 177356  50164 576760    0    0     0     0 7290 11005 77 20  3  0  0  0
 8  0      0 178880  50164 576788    0    0     0     0 7467 11407 77 21  3  0  0  0
 8  0      0 176840  50164 576820    0    0     0     0 7253 11256 74 25  2  0  0  0
13  0      0 176044  50172 576852    0    0     0    60 7473 11066 75 23  2  0  0  0
15  0      0 176192  50172 576884    0    0     0     0 7288 12293 78 20  2  0  0  0
 5  0      0 175720  50172 576916    0    0     0   196 7349 14563 79 21  1  0  0  0
 2  0      0 178760  50172 576944    0    0     0     0 7376 12129 76 20  4  0  0  0
10  0      0 175232  50172 576984    0    0     0     0 7397 10650 79 19  2  0  0  0
 6  0      0 175232  50172 577020    0    0     0     0 7359 10764 77 20  3  0  0  0
 3  0      0 176336  50184 577052    0    0     0    44 7600 11093 75 23  2  0  0  0
 6  0      0 177604  50184 577084    0    0     0     0 7476 11196 74 23  3  0  0  0
 7  0      0 175840  50184 577112    0    0     0   480 7738 11353 76 19  5  0  0  0
 8  0      0 176644  50184 577152    0    0     0     0 7472 11217 76 21  3  0  0  0
 8  0      0 178572  50184 577180    0    0     0     0 7638 11804 76 21  4  0  0  0
10  0      0 176052  50192 577212    0    0     0    72 7463 12610 77 21  2  0  0  0
 6  0      0 176052  50192 577252    0    0     0     0 7551 11858 76 22  3  0  0  0
15  0      0 176052  50192 577280    0    0     0    56 7593 10964 75 24  2  0  0  0
 9  0      0 178200  50192 577316    0    0     0     0 7317 11715 75 23  3  0  0  0
12  0      0 179052  50192 577364    0    0     0     0 7317 13105 76 21  2  0  0  0
15  0      0 181248  50200 577400    0    0     0    40 8131 11718 77 20  3  0  0  0
15  0      0 180388  50200 577432    0    0     0     0 7175 11966 78 20  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0      0 178712  50200 577464    0    0     0     8 7243 12040 79 19  2  0  0  0
15  0      0 178460  50200 577492    0    0     0     0 7353 13500 76 22  3  0  0  0
19  0      0 179860  50200 577528    0    0     0     0 7030 11430 75 24  1  0  0  0
16  0      0 178152  50208 577560    0    0     0    52 7535 11314 75 23  2  0  0  0
18  0      0 178160  50208 577596    0    0     0     0 7249 11415 79 20  1  0  0  0
25  0      0 177908  50216 577636    0    0     0   272 7587 10950 78 20  2  0  0  0
21  0      0 176144  50216 577668    0    0     0     0 7431 11293 78 20  2  0  0  0
22  0      0 176632  50216 577704    0    0     0     0 7037 11620 79 20  1  0  0  0
14  0      0 175592  50228 577740    0    0     0    60 7418 10789 79 20  1  0  0  0
12  0      0 175088  50228 577772    0    0     0     0 7121 9587 78 21  1  0  0  0
24  0      0 178548  50228 577800    0    0     0   112 7256 11275 76 23  1  0  0  0
17  0      0 177984  50228 577832    0    0     0     0 7415 10681 78 20  1  0  0  0
16  0      0 177572  50228 577868    0    0     0     0 7489 10465 79 19  2  0  0  0
16  0      0 177572  50240 577904    0    0     0    80 7664 11058 76 20  4  0  0  0
18  0      0 178832  50240 577940    0    0     0   520 7520 12338 79 19  2  0  0  0
15  0      0 178856  50240 577980    0    0     0   104 7422 12046 78 21  2  0  0  0
19  0      0 175580  50240 578008    0    0     0     0 7421 12197 77 22  1  0  0  0
11  0      0 175328  50240 578044    0    0     0     0 7733 12425 72 24  4  0  0  0
 9  0      0 176616  50252 578076    0    0     0    68 7289 11699 76 21  3  0  0  0
14  0      0 174840  50252 578108    0    0     0     0 7308 11071 78 20  3  0  0  0
10  0      0 179204  50252 578140    0    0     0     0 7938 12863 76 20  5  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 178168  50252 578176    0    0     0   108 7672 12312 75 21  4  0  0  0
 4  0      0 177916  50252 578204    0    0     0     0 7649 11473 76 20  4  0  0  0
14  0      0 176316  50264 578232    0    0     0   104 7594 11343 74 22  4  0  0  0
12  0      0 175560  50264 578272    0    0     0     0 7523 10590 73 24  4  0  0  0
15  0      0 177792  50264 578304    0    0     0     0 7608 10922 77 21  2  0  0  0
10  0      0 177036  50264 578340    0    0     0   112 7518 11709 77 20  3  0  0  0
 9  0      0 173512  50264 578376    0    0     0     0 7475 11601 78 19  2  0  0  0
13  0      0 174608  50276 578408    0    0     0    44 7428 13403 77 20  3  0  0  0
17  0      0 176592  50276 578440    0    0     0     0 7615 12102 77 21  2  0  0  0
 7  0      0 174624  50276 578468    0    0     0     0 7364 11639 76 22  2  0  0  0
11  0      0 177064  50276 578500    0    0     0   100 7610 12845 73 23  4  0  0  0
14  0      0 179452  50276 578544    0    0     0     0 7541 11434 78 21  1  0  0  0
10  0      0 179452  50288 578576    0    0     0    44 7285 11533 80 18  2  0  0  0
16  0      0 177436  50288 578608    0    0     0     0 7087 9315 80 19  1  0  0  0
 6  0      0 178168  50288 578644    0    0     0     0 7480 9006 80 19  1  0  0  0
12  0      0 177412  50288 578680    0    0     0   132 7523 12409 78 21  1  0  0  0
15  0      0 176656  50288 578716    0    0     0     0 7246 10435 78 21  1  0  0  0
17  0      0 173128  50300 578756    0    0     0    52 7521 10735 74 23  3  0  0  0
 4  0      0 175788  50300 578792    0    0     0     0 7435 11554 77 21  2  0  0  0
16  0      0 176524  50300 578820    0    0     0     0 7338 11320 79 19  2  0  0  0
19  0      0 175516  50300 578856    0    0     0   112 7548 12803 78 20  2  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
