t_row_ns,t_input_ns,input_0,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,input_11,input_12,input_13,input_14,input_15,input_16,input_17,input_18,input_19,input_20,input_21,input_22,input_23,input_24,input_25,t_py_ns,py_winner,py_decision,py_spike_0,py_spike_1,py_spike_2,py_spike_3,t_fpga_ns,fpga_winner,fpga_decision,fpga_spike_0,fpga_spike_1,fpga_spike_2,fpga_spike_3,agree
1778191574100615669,1778191574093440150,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574100560372,3,IDLE,0,0,0,0,1778191573969635669,1,BACKWARD,0,1,0,0,0
1778191574173924094,1778191574165249743,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191574173871224,2,FORWARD,1,1,0,1,1778191574159756372,-1,IDLE,0,0,0,0,0
1778191574240852298,1778191574230615261,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191574240798298,3,RIGHT,0,0,1,0,1778191574159756372,-1,IDLE,0,0,0,0,0
1778191574306427613,1778191574296056057,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1778191574306376706,0,FORWARD,0,1,0,1,1778191574159756372,-1,IDLE,0,0,0,0,0
1778191574396860705,1778191574381492076,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1778191574396764280,3,LEFT,1,0,1,0,1778191574335055594,-1,IDLE,0,0,0,0,0
1778191574453871557,1778191574452904020,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191574453803465,2,FORWARD,0,1,0,1,1778191574335055594,-1,IDLE,0,0,0,0,0
1778191574521488687,1778191574518531928,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191574521427020,3,RIGHT,1,0,1,0,1778191574455231983,-1,IDLE,0,0,0,0,0
1778191574571631316,1778191574563173594,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1778191574571572983,-1,FORWARD,0,1,0,1,1778191574563624557,1,BACKWARD,0,1,0,0,0
1778191574641217594,1778191574629568261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574641154113,2,IDLE,0,0,0,0,1778191574563624557,1,BACKWARD,0,1,0,0,0
1778191574712900520,1778191574678768909,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574712845631,-1,RIGHT,1,1,1,1,1778191574679184928,-1,IDLE,0,0,0,0,1
1778191574792664261,1778191574792238927,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574792621687,3,IDLE,0,0,0,0,1778191574775093427,-1,IDLE,0,0,0,0,0
1778191574852880798,1778191574852428705,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574852833835,-1,FORWARD,1,1,1,1,1778191574775093427,-1,IDLE,0,0,0,0,1
1778191574913813594,1778191574913288038,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574913725483,3,IDLE,0,0,0,0,1778191574898802464,0,LEFT,1,0,0,0,0
1778191574980039835,1778191574972298464,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1778191574979975983,-1,FORWARD,1,1,1,1,1778191574898802464,0,LEFT,1,0,0,0,0
